id,name,image_label,image_link,sort_order
91,"A Financial Trade Tax won't work because it didn't work in Sweden.","",,0
36,"Al Gore is a rich man and he said that Hawaii would be under water by 2016. It isn't. Therefore climate change is a hoax.","",,1
40,"Anything the government can do, private industry can do better","Folly of unregulated business","https://lh3.googleusercontent.com/s_0R6aWbE4FAHfIdK17UOHtxWV-rP_6olvlxYhcaTr6ZqldoeYbbMfo5QCwra1GEcPaQ0qc_8g=w5120-h3200-rw-no",2
11,"Bernie can't fundraise","",,3
1,"Bernie can't win the general election","Bernie is more electable","https://scontent-ord1-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/761_1045542135487706_7943236650006385095_n.jpg?oh=55256661338f8198d252dc81e9eddeac&oe=579866F4",4
29,"Bernie can't work with Congress, can't get things done (as well as Hillary)","",,5
56,"Bernie didn't have a 9-5 job until he was 40","",,6
17,"Bernie doesn’t deserve our support because he isn’t a Democrat.","",,7
65,"Bernie has no plan to break up the banks","",,8
10,"Bernie is a gun nut","",,9
79,"Bernie is doing well because nobody has started attacking him yet","",,10
8,"Bernie is too far behind to catch up / the fix is in for Clinton.","",,11
15,"Bernie is too far to the left","",,12
5,"Bernie is too old","",,13
41,"Bernie is weak (compared to Hillary) on foreign policy","The American Conservative report card","https://philebersole.files.wordpress.com/2016/02/hawishness-scorecard-revised-554x380.jpg?w=900&h=618",14
55,"Bernie never owned a business","",,15
57,"Bernie never proposed a bill that was passed","",,16
6,"Bernie only appeals to progressive white men.","",,17
85,"Bernie supporters are just sore losers. Hillary is winning fair and square. The DNC did not favor Hillary. The media did not mislead people. There was no election fraud.","Sanders does better when the votes are hand counted","http://static1.squarespace.com/static/579f40a01b631bd12f10c29e/t/57a250199f745644caa5d780/1470255143278/?format=1500w",18
30,"Bernie will split the vote","",,19
16,"Bernie's plans are politically unrealistic","",,20
18,"Bernie’s proposals are too expensive /  How's he going to pay for it all?","Costs and Revenue by Plan","https://scontent-ord1-1.xx.fbcdn.net/hphotos-xpf1/t31.0-8/12716381_10205528800723655_3530384207684871056_o.jpg",21
33,"Breaking up banks is not important","",,22
96,"Corporate executives look out for the public","Folly of unregulated business","https://lh3.googleusercontent.com/s_0R6aWbE4FAHfIdK17UOHtxWV-rP_6olvlxYhcaTr6ZqldoeYbbMfo5QCwra1GEcPaQ0qc_8g=w5120-h3200-rw-no",23
59,"Electric cars are bad for the environment because electricity is produced at coal plants","",,24
63,"Eliminating business tax is good for the economy","",,25
104,"Fox and other conservative news sources are good.","",,26
44,"Hillary as president will create jobs","",,27
74,"Hillary cares about kids","",,28
54,"Hillary cares about the environment","",,29
2,"Hillary has more experience","",,30
84,"Hillary hasn't done anything wrong regarding her email","",,31
9,"Hillary is just as progressive as Bernie","Political Compass puts Hillary about as far right as the Republican candidates","https://www.politicalcompass.org/images/us2016.png",32
101,"Hillary keeps her promises","",,33
93,"Hillary will be tough on Wall Street","",,34
110,"Homosexuality is a choice. There are only two genders","",,35
64,"Human activity has not caused climate change","Human's influence on climate change. ","https://www3.epa.gov/climatechange/images/science/models-observed-human-natural.png",36
23,"I already pay too much tax to support poor people","Some perspective on money for the poor","https://scontent-ord1-1.xx.fbcdn.net/v/t1.0-9/13934777_921111154683935_4579613076862739147_n.jpg?oh=6baa14292c6b03131f83c580a82c2d2d&oe=585CDCD8",37
69,"I am Christian","",,38
80,"I am Latino","",,39
75,"I am Muslim","",,40
98,"I am a bigot","",,41
52,"I am a capitalist","",,42
68,"I am a low-wage earner","",,43
100,"I am a parent","",,44
82,"I am a senior","",,45
71,"I am a veteran","",,46
90,"I am a woman","",,47
99,"I am afraid. Demagogues appeal to me. Stranger danger. Trump will protect me.","",,48
83,"I am an incrementalist","",,49
50,"I am black","",,50
38,"I am conservative/republican","Melania Trump, your next First Lady","https://thenypost.files.wordpress.com/2016/07/melania_-_copie_2.jpg?quality=90&strip=all&w=664",51
67,"I am disabled","",,52
92,"I am gay","",,53
51,"I am in the Tea Party","Tea Party and Occupy Wall Street common cause","https://cdn-images-1.medium.com/max/2000/1*eI5MRNdgUlthKe75VA-Eag.jpeg",54
39,"I am libertarian","",,55
76,"I am living in poverty","",,56
97,"I am white","",,57
78,"I am young","",,58
37,"I can't vote for anyone who wants abortion to be legal","",,59
86,"I don't like Bernie. He's a humorless curmudgeon","",,60
95,"I don't like Muslims. I fear Muslims","Muslim double standards","https://scontent-ord1-1.xx.fbcdn.net/v/t1.0-9/13882642_1763306260579672_6829910178418202147_n.jpg?oh=c4aeb0c1a286e3a55450b1a3d7ba656b&oe=58239FB6",61
27,"I don't want to raise taxes on billionaires because someday I'm going to be a billionaire","",,62
47,"I hate Trump. Hillary and Bernie are both fine with me. So I'm sitting out the primary and waiting to vote in the general","",,63
108,"I have a soul. I am moved by music.","",,64
42,"I like Hillary / Hillary is honest","",,65
77,"I like Joe Biden","",,66
61,"I like Ted Cruz","Politifact Truth-o-meter for the candidates","https://stmedia.startribune.com/images/2politifact032016grONLINE.png",67
48,"I like Trump","Politifact Truth-o-meter for the candidates","https://qph.ec.quoracdn.net/main-qimg-e8b39ae288ed0d1a3a5b86aa4a54acda?convert_to_webp=true",68
89,"I like animals","",,69
62,"I paid for my own college education. So should kids today","",,70
109,"I trust our government","",,71
45,"I want Hillary because she's a woman","",,72
35,"I'm 83 years old and I've heard people say the sky is falling many times but it hasn't. Therefore it isn't this time either and climate change is bogus.","",,73
46,"I'm not interested in any issues","",,74
12,"If it's Trump vs. Hillary, reasonable Republicans will vote for Hillary","",,75
66,"If you raise corporate income tax, companies will move abroad","",,76
21,"If you raise the minimum wage, companies will automate or send jobs abroad","Relation between minimum wages and prices","http://publisher.attn.com/sites/default/files/minimum-wage-minutes-big-mac-01.png",77
94,"Immigrants are the problem","",,78
43,"My vote doesn't matter","Methuen was won by one vote","https://c.o0bg.com/rf/image_960w/Boston/2011-2020/2016/03/02/BostonGlobe.com/Metro/Images/methuenbig.jpg",79
60,"Nordic socialism prevents entrepreneurship","",,80
14,"Policies in Denmark cannot scale","",,81
3,"Polls say Americans would not vote for a Socialist","Millenials prefer socialist to capitalist","https://img.washingtonpost.com/wp-apps/imrs.php?src=https://img.washingtonpost.com/news/rampage/wp-content/uploads/sites/27/2016/02/Screen-Shot-2016-02-05-at-9.48.33-AM-e1454683771116.png&w=1484",82
28,"Raising tax on rich people won't raise that much money","",,83
49,"Rich kids should not get free college","",,84
25,"Rich people and poor people deserve the life they have","",,85
26,"Rich people care about poor people and create jobs for them","",,86
19,"Single-payer healthcare is impossible","",,87
13,"Socialism is bad -  USSR, China","",,88
72,"Socialization of medicine will impede technological innovation","",,89
32,"Taxing wall street trades will hurt all 401(k) holders","",,90
87,"The NRA cares about people","",,91
24,"The poor are not paying any income tax","",,92
22,"The problem is labor unions","",,93
34,"The reason only a few scientists deny climate change is that if someone wants to challenge it they won't get any grant money from a left wing administration","",,94
70,"Transitioning to renewable energy is economically unfeasible","",,95
111,"Trump doesn't lie. Trump is honest","",,96
102,"Trump is a good businessman","",,97
103,"Trump is smart","",,98
106,"Trump isn't crazy","Trump is about as classy and  mature as any other 9 year old playground bully","https://qph.ec.quoracdn.net/main-qimg-8703b9661951d2dd27c79f8f4daf8369-c?convert_to_webp=true",99
105,"Trump made good appointment choices","",,100
107,"Trump's kids are great","",,101
20,"Tuition-free college is impossible","",,102
31,"Voting won't make a difference. Only destroying the government will","",,103
88,"We need more guns, not fewer","",,104
